id,library,methods,constructor
260585944,Adafruit_LIS331,HPFReset###getRange###getSensor###getEvent###getHPFReference###setLPFCutoff###writeRange###setDataRate###begin_SPI###begin_I2C###getDeviceID###enableHighPassFilter###setHPFReference###getDataRate###getMode###_scaleValues###configIntDataReady###setRange###read###readRange,Adafruit_LIS331HH
260585944,Adafruit_LIS331,HPFReset###getRange###getSensor###getEvent###getHPFReference###setLPFCutoff###writeRange###setDataRate###begin_SPI###begin_I2C###getDeviceID###enableHighPassFilter###setHPFReference###getDataRate###getMode###_scaleValues###configIntDataReady###setRange###read###readRange,Adafruit_H3LIS331
329785239,BigFont01,clear###writechar###begin###writeint,BigFont01
44492416,BlueRobotics_MS5837_Library,pressure###depth###init###setFluidDensity###altitude###setModel###read###begin###getModel###temperature,MS5837
4726670,Adafruit_MPL115A2,getTemperature###getPT###begin###getPressure,Adafruit_MPL115A2
36429572,TWILiquidCrystalLibrary,clear###noDisplay###print###Print###noBlink###display###availableForWrite###noCursor###println###setBrightness###begin###autoscroll###command###scrollDisplayRight###getFirmwareVersion###getWriteError###cursor###saveContrast###write###blink###saveColor###setContrast###setCursor###flush###home###createChar###leftToRight###setColor###clearWriteError###scrollDisplayLeft###rightToLeft###noAutoscroll###saveBrightness,LiquidCrystal
109973028,X-NUCLEO-IKA01A1,get_voltage###TSU104###read_id###get_signal1###init###TSU104_ConfigIT###TSU104_Init###get_signal2###TSU104_ReadID,TSU104
109973028,X-NUCLEO-IKA01A1,get_voltage###read_id###TSZ124_Init###get_current###init###TSZ124_ReadID###TSZ124,TSZ124
109973028,X-NUCLEO-IKA01A1,TSV734_SetDutyCycle###TSV734_ReadID###read_id###TSV734_Init###init###TSV734_ConfigIT###set_duty_cycle###TSV734,TSV734
363691561,MMA8653,getRange###readREG###begin###setFFMTOff###reset###setResolution###whoAmI###getDataRate###setFFMTConfig###readFFMT###setRange###isActive###setInterrupt###setOffsets###init###enterStandby###setMODS###getInterrupt###setDataRate###setSMODS###getResolution###setInterruptsConfig###readFFMTfull###readSensor###exitStandby###resetOffsets###setFFMTThresholds###getOffsets,MMA8653
183116896,WarmCat_6x14Backpack,clear###scrollText###dots###blink###dispChar###showScroll###showOnDisp###scrollSerialText###emptyScrollBuffer###swirlyAll###swirly###setBrightness###disp6Char###begin,WarmCat6x14
65500895,SparkFun_TMP102_Arduino_Library,setLowTempC###setLowTempF###setFault###begin###setHighTempF###readHighTempF###setExtendedMode###readTempF###readTempC###setAlertMode###readLowTempF###sleep###alert###oneShot###setAlertPolarity###setConversionRate###readLowTempC###readHighTempC###wakeup###setHighTempC,TMP102
281412313,I2C_AXP192,setGPIO3###setEXTEN###setLDO3###setDCDC2###getBatteryDischargeCurrent###getBatteryChargeCurrent###getAcinCurrent###getInternalTemperature###begin###setDCDC1###setGPIO4###setLDO2###getApsVoltage###getVbusVoltage###setGPIO1###setGPIO0###setDCDC3###getBatteryPower###getPekPress###setBACKUP###setGPIO2###getVbusCurrent###getBatteryVoltage###powerOff###getAcinVolatge,I2C_AXP192
236502176,Nouryas-Advanced-Line-Follower-Array,Go###Stopp,Adv_Line_Follower
173997852,Soldering-Machine,initStepper###initServo###initAll###initLCD###boot,SolderingMachine
410303039,SHT2x,getEIDB###isConnected###lastRead###begin###getFirmwareVersion###getHeatTimeout###reset###setResolution###heatOn###getHumidity###getRawHumidity###getRawTemperature###heatOff###getEIDA###getHeaterLevel###setHeaterLevel###isHeaterOn###getResolution###getError###batteryOK###setHeatTimeout###getTemperature###read,SHT2x
85633856,SeqButton,handler###init###getPin###getState,SeqButton
